author,created_at,closed_at,title,state,labels
ryan953,2024-09-14 18:51:41+00:00,,[Hydration Errors] Refactor side-by-side diff to use new view/provider components,open,[]
GaurangTandon,2024-09-14 08:58:50+00:00,,Update filtering for an issue directly from web UI,open,"['Product Area: Issues', 'Waiting for: Product Owner']"
csmsln,2024-09-14 04:43:38+00:00,,Sentry doesn't capture errors in FastAPI from local environemt,open,['Waiting for: Support']
evanpurkhiser,2024-09-14 00:33:32+00:00,,feat(uptime): Fetch rdap after subscription creation,open,['Scope: Backend']
michellewzhang,2024-09-13 23:50:57+00:00,,feat(flags): attach flags in sentry's frontend to events,open,['Scope: Frontend']
aliu39,2024-09-13 23:44:10+00:00,,feat(analytics): add a debounced trackAnalytics util/hook,open,['Scope: Frontend']
scttcper,2024-09-13 23:04:38+00:00,,"feat(issues): Add inline preview to attachments, refactor attachments",open,['Scope: Frontend']
scttcper,2024-09-13 23:00:33+00:00,2024-09-13 23:15:10+00:00,fix(issues): Align streamlined event id,closed,['Scope: Frontend']
ameliahsu,2024-09-13 22:40:42+00:00,,feat(invite-members): updated invite modal layout and copy/paste functionality,open,['Scope: Frontend']
mrduncan,2024-09-13 22:39:55+00:00,,chore(issues): Move issues endpoints to issues,open,['Scope: Backend']
MichaelSun48,2024-09-13 22:16:35+00:00,2024-09-13 23:43:33+00:00,fix(custom-views): Align hover state of overflow menu with add view button,closed,['Scope: Frontend']
MichaelSun48,2024-09-13 21:59:46+00:00,,feat(custom-views): Don't show tab dividers next to hovering tabs ,open,['Scope: Frontend']
scttcper,2024-09-13 21:56:21+00:00,,feat(onboarding): Avoid `new URL` for onboarding app routing,open,['Scope: Frontend']
mrduncan,2024-09-13 21:55:57+00:00,2024-09-13 22:09:50+00:00,fix(issues): Fix incorrect API docs for statsPeriod,closed,['Scope: Frontend']
jangjodi,2024-09-13 21:53:52+00:00,2024-09-13 22:40:14+00:00,fix(similarity): Return failure reason from multithread seer call,closed,['Scope: Backend']
Christinarlong,2024-09-13 21:26:46+00:00,,ref(sentry_apps): move sentryapp model to sentry_apps dir,open,['Scope: Backend']
scttcper,2024-09-13 21:18:33+00:00,2024-09-13 22:20:02+00:00,fix(ui): Remove team slug from settings search,closed,['Scope: Frontend']
scttcper,2024-09-13 21:08:55+00:00,2024-09-13 22:36:17+00:00,test(performance): Rearrange trace keyboard test,closed,['Scope: Frontend']
evanpurkhiser,2024-09-13 21:03:32+00:00,,feat(uptime): Add fetch_subscription_rdap_info task,open,['Scope: Backend']
joshuarli,2024-09-13 20:47:01+00:00,,fix: devenv import error for python upgrade,open,['Scope: Backend']
scttcper,2024-09-13 20:23:51+00:00,2024-09-13 20:45:35+00:00,fix(onboarding): Open replay panel in quick start action,closed,['Scope: Frontend']
aliu39,2024-09-13 20:22:58+00:00,,ref(feedback): disallow shimming reports w/missing event,open,['Scope: Backend']
malwilley,2024-09-13 20:16:56+00:00,,fix(query-builder): Stop text from being overwritten when pasting,open,['Scope: Frontend']
MichaelSun48,2024-09-13 20:14:22+00:00,2024-09-13 20:27:56+00:00,fix(custom-views): Change cursor for tab to pointer everywhere,closed,['Scope: Frontend']
Zylphrex,2024-09-13 20:10:30+00:00,,feat(explore): New search query builder using eap,open,['Scope: Frontend']
asottile-sentry,2024-09-13 20:09:58+00:00,,ref: add warmup to wsgi,open,['Scope: Backend']
Zylphrex,2024-09-13 20:07:37+00:00,,feat(eap): Use RPC to fetch tag values,open,['Scope: Backend']
cmanallen,2024-09-13 20:06:36+00:00,,feat(replays): Pack video and recording data into the same payload,open,['Scope: Backend']
edwardgou-sentry,2024-09-13 20:06:27+00:00,,fix(insights): Fixes Alerts from Queries module charts not always having accurate filters,open,['Scope: Frontend']
edwardgou-sentry,2024-09-13 20:04:46+00:00,,"feat(insights): Updates the Insights to create Alert flow to propagate the environment, timerange, and chart name whenever possible",open,['Scope: Frontend']
isabellaenriquez,2024-09-13 20:01:51+00:00,2024-09-13 20:57:35+00:00,chore(apidocs): Fix inconsistencies in replay docs,closed,['Scope: Backend']
isabellaenriquez,2024-09-13 19:46:03+00:00,2024-09-13 20:49:20+00:00,chore(apidocs): id -> ID,closed,['Scope: Frontend']
isabellaenriquez,2024-09-13 19:41:55+00:00,2024-09-13 20:30:01+00:00,chore(apidocs): Make UserRole related endpoints private,closed,['Scope: Backend']
isabellaenriquez,2024-09-13 19:36:18+00:00,,chore(apidocs): Add example for Retrieve an Organization Member,open,['Scope: Backend']
iamrajjoshi,2024-09-13 19:20:36+00:00,,:wrench: chore(discord): Remove validate user Option,open,['Scope: Backend']
Christinarlong,2024-09-13 19:03:42+00:00,2024-09-13 21:00:39+00:00,chore(users): Move User base endpoint file to users directory,closed,['Scope: Backend']
mifu67,2024-09-13 19:01:45+00:00,2024-09-13 20:42:27+00:00,fix(anomaly detection): update alert list status to be the same as details page,closed,['Scope: Frontend']
MichaelSun48,2024-09-13 18:58:44+00:00,2024-09-13 19:34:52+00:00,chore(crons): Remove sentry monitor decorator from run_escalating_forecast job,closed,['Scope: Backend']
mifu67,2024-09-13 18:55:49+00:00,2024-09-13 22:31:07+00:00,fix(anomaly detection): get aggregation key from snuba data,closed,['Scope: Backend']
evanpurkhiser,2024-09-13 18:53:58+00:00,2024-09-13 19:17:11+00:00,ref(js): Missed one DateTime defualt export,closed,['Scope: Frontend']
armenzg,2024-09-13 18:34:37+00:00,,drop(grouping): A few more post-hierarchical code removals,open,['Scope: Backend']
evanpurkhiser,2024-09-13 18:28:44+00:00,,ref(uptime): Include host_provider_id in restricted_by_provider metric,open,['Scope: Backend']
evanpurkhiser,2024-09-13 18:26:33+00:00,2024-09-13 18:40:25+00:00,ref(js): Remove usage of DateTime default export,closed,['Scope: Frontend']
